id,type,tags[],ratio,rarity,size,eventProbability,once,name<jpn>,keyword<jpn>,events[],interactTags[],interactEvents[],speak,image,describe<jpn>
object_beach00,amusement,sea,1,-1,1,0.5,true,a broken surfboard,surfboard,itemNotFound00/battle00/itemGetIdTool03,-,-,search,-,I wonder if someone used this to surf. <br>Or perhaps it was used for something else.
object_shore02,amusement,sea,1,-1,1,0.5,true,abandoned fishing gear,fishing gear,itemGetIdTool03/itemGetIdTool03/itemGetMedicine00,-,-,search,-,I wonder if you can catch anything around here. <br>Even with the gear， there is not much you can do without bait.
amusement00,amusement,house,1,-1,1,0.5,true,a road bike hanging on the wall,road bike,itemGetMaterial00/itemGetMaterial00/itemNotFound00,-,-,search,-,-
amusement01,amusement,-,1,-1,1,0.5,true,a skateboard propped up against the wall,skateboard,itemNotFound00/itemGetMaterial00/itemGetMaterial00,-,-,search,-,-
object_bath00,bathware,-,1,-1,1,0.5,true,a bottle of shampoo with some left in it,shampoo,itemNotFound00/itemNotFound00/itemGetDocument00,-,-,search,-,-
object_bath01,bathware,-,1,-1,3,0.5,true,a bathtub filled with stagnant water,bathtub,itemGetArmor00/battle00/accident00,-,-,search,-,The water collected in the bathtub had become so murky that I could no longer see the bottom. <br>I wonder if it was really just water that was originally in here.
object_bath02,bathware,-,1,-1,3,0.5,true,a faded shower curtain,shower curtain,battle00/itemGetTool00/accident00,-,-,search,-,-
bathware00,bathware,-,1,-1,2,0.5,true,a sink filled with stagnant water,sink,itemGetIdMaterial01/itemNotFound00/accident00,-,-,search,-,-
object_office00,bookshelf,-,1,-1,3,0.5,true,a bookshelf with books missing from it,bookshelf,itemGetDocument00/battle00/itemGetBox00,-,-,search,-,-
object_library03,bookshelf,-,1,-1,3,0.5,true,a tightly packed aluminum bookshelf,aluminum bookshelf,battle00/itemGetDocument00/itemGetGun01,-,-,search,-,-
bookshelf00,bookshelf,shop,1,-1,3,0.5,true,a shelf filled mostly with paperback books,paperback books,itemGetArmor00/itemGetDocument00/accident00,-,-,search,-,
bookshelf01,bookshelf,shop,1,-1,3,0.5,true,a magazine shelf with almost nothing left on it,magazine shelf,itemGetBox00/itemGetDocument00/accident00,-,-,search,-,
object_road01,building,-,1,-1,3,0.5,true,a collapsed house,house,battle00/itemGet00/accident00,-,-,search,-,-
building00,building,-,1,-1,3,0.5,true,an empty storefront,storefront,itemGet00/battle00/itemNotFound00,-,-,search,-,
building01,building,-,1,-1,3,0.5,true,a small local factory,local factory,itemGetIdMaterial00/battle00/itemGetIdMaterial01,-,-,search,-,
object_tent01,campware,-,1,-1,2,0.5,true,a sleeping bag stuffed with something,sleeping bag,battle00/itemGet00/check00,-,-,search,-,-
