id,_name<jpn>,name<eng>,_keyword<jpn>,keyword<eng>,_describe<jpn>,describe<eng>
object_beach00,割れてしまったサーフボード,<PLEASE_TRANSLATE>,サーフボード,<PLEASE_TRANSLATE>,これで波に乗ったりしたのだろうか。<br>それとも、何か別のことに使ったのだろうか。,<PLEASE_TRANSLATE>
object_shore02,投げ出された釣り道具,<PLEASE_TRANSLATE>,釣り道具,<PLEASE_TRANSLATE>,この辺りは釣れるのだろうか。<br>道具があっても、餌がなければどうにもならないけれど。,<PLEASE_TRANSLATE>
amusement00,壁に掛けられたロードバイク,<PLEASE_TRANSLATE>,ロードバイク,<PLEASE_TRANSLATE>,-,-
amusement01,立てかけられたスケートボード,<PLEASE_TRANSLATE>,スケートボード,<PLEASE_TRANSLATE>,-,-
object_bath00,まだ中身の残ったシャンプー,<PLEASE_TRANSLATE>,シャンプー,<PLEASE_TRANSLATE>,-,-
object_bath01,腐った水の溜まったバスタブ,<PLEASE_TRANSLATE>,バスタブ,<PLEASE_TRANSLATE>,浴槽に貯められた水は、もう底が見えないくらいに濁っていた。<br>もともとここにあったのは、ただの水だけだろうか。,<PLEASE_TRANSLATE>
object_bath02,色褪せたシャワーカーテン,<PLEASE_TRANSLATE>,シャワーカーテン,<PLEASE_TRANSLATE>,-,-
bathware00,水の濁った洗面台,<PLEASE_TRANSLATE>,洗面台,<PLEASE_TRANSLATE>,-,-
object_office00,歯抜けになった本棚,<PLEASE_TRANSLATE>,本棚,<PLEASE_TRANSLATE>,-,-
object_library03,ぎっしり詰まったアルミの本棚,<PLEASE_TRANSLATE>,アルミの本棚,<PLEASE_TRANSLATE>,-,-
bookshelf00,文庫本ばかりの棚,<PLEASE_TRANSLATE>,文庫本ばかりの棚,<PLEASE_TRANSLATE>,,
bookshelf01,ほとんど残っていない雑誌棚,<PLEASE_TRANSLATE>,雑誌棚,<PLEASE_TRANSLATE>,,
object_road01,崩れた家屋,<PLEASE_TRANSLATE>,家屋,<PLEASE_TRANSLATE>,-,-
building00,空っぽの店舗,<PLEASE_TRANSLATE>,店舗,<PLEASE_TRANSLATE>,,
building01,小さな町工場,<PLEASE_TRANSLATE>,町工場,<PLEASE_TRANSLATE>,,
object_tent01,何かの詰まった寝袋,<PLEASE_TRANSLATE>,寝袋,<PLEASE_TRANSLATE>,-,-
object_tent02,折り畳み式のキャンプチェア,<PLEASE_TRANSLATE>,キャンプチェア,<PLEASE_TRANSLATE>,少なくとも、誰かがここで寝泊まりしていたのは間違いない。<br>何もかも残して、どこに行ったのだろう。,<PLEASE_TRANSLATE>
object_tent03,畳まれたブルーシート,<PLEASE_TRANSLATE>,ブルーシート,<PLEASE_TRANSLATE>,-,-
object_grassland00,たき火の跡,<PLEASE_TRANSLATE>,たき火,<PLEASE_TRANSLATE>,-,-
object_riverside01,風に飛ばされそうなレジャーシート,<PLEASE_TRANSLATE>,レジャーシート,<PLEASE_TRANSLATE>,-,-
object_beach02,倒れたビーチパラソル,<PLEASE_TRANSLATE>,ビーチパラソル,<PLEASE_TRANSLATE>,-,-
object_beach03,風に飛ばされそうなサンシェード,<PLEASE_TRANSLATE>,サンシェード,<PLEASE_TRANSLATE>,-,-
object_square00,折れてしまった看板,<PLEASE_TRANSLATE>,看板,<PLEASE_TRANSLATE>,-,-
object_road00,腰の高さまで積まれた土嚢,<PLEASE_TRANSLATE>,土嚢,<PLEASE_TRANSLATE>,-,-
