id,_name<jpn>,name<eng>,_ruby<jpn>,ruby<eng>,_description<jpn>,description<eng>
heal00,包帯,<PLEASE_TRANSLATE>,ほうたい,<PLEASE_TRANSLATE>,傷口を覆う包帯。使用すると体力を40回復。,<PLEASE_TRANSLATE>
heal01,救急箱,<PLEASE_TRANSLATE>,きゅうきゅうばこ,<PLEASE_TRANSLATE>,手当をするための道具が揃えた箱。使用すると体力を80回復。,<PLEASE_TRANSLATE>
-,,,,,,
cooking00,サンドイッチ,<PLEASE_TRANSLATE>,さんどいっち,<PLEASE_TRANSLATE>,ハムをパンで挟んだサンドイッチ。<br>使用すると体力を{0}回復、空腹度を{1}回復。,<PLEASE_TRANSLATE>
cooking01,ハンバーグ,<PLEASE_TRANSLATE>,はんばーぐ,<PLEASE_TRANSLATE>,コンビーフを砕いて玉ねぎと一緒に練ったハンバーグ。<br>使用すると体力を{0}回復、空腹度を{1}回復。,<PLEASE_TRANSLATE>
cooking02,串焼き肉,<PLEASE_TRANSLATE>,くしやきにく,<PLEASE_TRANSLATE>,串に刺した肉を直火で焼いた一品。<br>使用すると体力を{0}回復、空腹度を{1}回復。,<PLEASE_TRANSLATE>
cooking03,コンソメスープ,<PLEASE_TRANSLATE>,こんそめすーぷ,<PLEASE_TRANSLATE>,インスタントのコンソメスープ。<br>使用すると体力を{0}回復、空腹度を{1}回復。,<PLEASE_TRANSLATE>
cooking04,おにぎり,<PLEASE_TRANSLATE>,おにぎり,<PLEASE_TRANSLATE>,手に塩をかけて握ったおにぎり。<br>使用すると体力を{0}回復、空腹度を{1}回復。,<PLEASE_TRANSLATE>
cooking05,焼きおにぎり,<PLEASE_TRANSLATE>,やきおにぎり,<PLEASE_TRANSLATE>,香ばしい焦げ目をつけたおにぎり。<br>使用すると体力を{0}回復、空腹度を{1}回復。,<PLEASE_TRANSLATE>
cooking06,オムレツ,<PLEASE_TRANSLATE>,おむれつ,<PLEASE_TRANSLATE>,ふんわり焼き上げたオムレツ。<br>使用すると体力を{0}回復、空腹度を{1}回復。,<PLEASE_TRANSLATE>
cooking07,たまごサンド,<PLEASE_TRANSLATE>,たまごさんど,<PLEASE_TRANSLATE>,砕いたゆで卵を挟んだサンドイッチ。<br>使用すると体力を{0}回復、空腹度を{1}回復。,<PLEASE_TRANSLATE>
cooking08,肉煮込み,<PLEASE_TRANSLATE>,にくにこみ,<PLEASE_TRANSLATE>,じっくり時間をかけた肉を煮込んだ一品。<br>使用すると体力を{0}回復、空腹度を{1}回復。,<PLEASE_TRANSLATE>
cooking09,玉ねぎスープ,<PLEASE_TRANSLATE>,玉ねぎすーぷ,<PLEASE_TRANSLATE>,玉ねぎをたっぷり使ったスープ。<br>使用すると体力を{0}回復、空腹度を{1}回復。,<PLEASE_TRANSLATE>
cooking10,焼き魚,<PLEASE_TRANSLATE>,やきざかな,<PLEASE_TRANSLATE>,木の串を刺して、焚き火で焼いた魚。<br>使用すると体力を{0}回復、空腹度を{1}回復。,<PLEASE_TRANSLATE>
cooking11,白身魚のオーブン蒸し,<PLEASE_TRANSLATE>,しろみざかなのおーぶんむし,<PLEASE_TRANSLATE>,時間をかけて蒸した魚料理。<br>使用すると体力を{0}回復、空腹度を{1}回復。,<PLEASE_TRANSLATE>
cooking12,ホットサンド,<PLEASE_TRANSLATE>,ほっとさんど,<PLEASE_TRANSLATE>,ハムをパンで挟んで焼き上げたサンドイッチ。<br>使用すると体力を{0}回復、空腹度を{1}回復。,<PLEASE_TRANSLATE>
cooking13,オニオンリング,<PLEASE_TRANSLATE>,おにおんりんぐ,<PLEASE_TRANSLATE>,薄切りの玉ねぎを油で揚げた一品。<br>使用すると体力を{0}回復、空腹度を{1}回復。,<PLEASE_TRANSLATE>
cooking14,フライドポテト,<PLEASE_TRANSLATE>,ふらいどぽてと,<PLEASE_TRANSLATE>,細く切ったじゃがいもを油でカラッと。<br>使用すると体力を{0}回復、空腹度を{1}回復。,<PLEASE_TRANSLATE>
cooking15,たまごかけごはん,<PLEASE_TRANSLATE>,たまごかけごはん,<PLEASE_TRANSLATE>,白米にたまごを乗せて、さっとかき混ぜただけの簡単な料理。<br>使用すると体力を{0}回復、空腹度を{1}回復。,<PLEASE_TRANSLATE>
cooking16,ハムエッグ,<PLEASE_TRANSLATE>,はむえっぐ,<PLEASE_TRANSLATE>,ハムと一緒に焼いた目玉焼き。<br>使用すると体力を{0}回復、空腹度を{1}回復。,<PLEASE_TRANSLATE>
cooking17,魚のコンソメ煮,<PLEASE_TRANSLATE>,さかなのこんそめに,<PLEASE_TRANSLATE>,白身魚をコンソメで煮詰めた料理。<br>使用すると体力を{0}回復、空腹度を{1}回復。,<PLEASE_TRANSLATE>
cooking18,ピザトースト,<PLEASE_TRANSLATE>,ぴざとーすと,<PLEASE_TRANSLATE>,パンにチーズをたっぷりかけて焼き上げた。<br>使用すると体力を{0}回復、空腹度を{1}回復。,<PLEASE_TRANSLATE>
cooking19,肉巻きチーズ,<PLEASE_TRANSLATE>,にくまきちーず,<PLEASE_TRANSLATE>,チーズに薄切り肉を巻いて、じっくり焼き上げた料理。溶けたチーズが食欲をそそる。<br>使用すると体力を{0}回復、空腹度を{1}回復。,<PLEASE_TRANSLATE>
cooking20,チーズサンド,<PLEASE_TRANSLATE>,ちーずさんど,<PLEASE_TRANSLATE>,チーズをビスケットで挟んだ一品。<br>使用すると体力を{0}回復、空腹度を{1}回復。,<PLEASE_TRANSLATE>
cooking21,じゃがいものポタージュ,<PLEASE_TRANSLATE>,じゃがいものぽたーじゅ,<PLEASE_TRANSLATE>,じゃがいものスープ。<br>使用すると体力を{0}回復、空腹度を{1}回復。,<PLEASE_TRANSLATE>
cooking22,じゃがチーズ焼き,<PLEASE_TRANSLATE>,じゃちーずやき,<PLEASE_TRANSLATE>,溶けたチーズとじゃがいもを絡めた一品。<br>使用すると体力を{0}回復、空腹度を{1}回復。,<PLEASE_TRANSLATE>
cooking23,肉じゃが,<PLEASE_TRANSLATE>,にくじゃが,<PLEASE_TRANSLATE>,肉やじゃがいもを煮込んだ家庭料理。<br>使用すると体力を{0}回復、空腹度を{1}回復。,<PLEASE_TRANSLATE>
cooking24,ポテトサラダ,<PLEASE_TRANSLATE>,ぽてとさらだ,<PLEASE_TRANSLATE>,潰したじゃがいもと野菜のサラダ。<br>使用すると体力を{0}回復、空腹度を{1}回復。,<PLEASE_TRANSLATE>
-,,,,,,
biscuit00,乾パン,<PLEASE_TRANSLATE>,かんぱん,<PLEASE_TRANSLATE>,保存用のビスケット。<br>使用すると空腹度を15回復。,<PLEASE_TRANSLATE>
biscuit01,チョコレートバー,<PLEASE_TRANSLATE>,ちょこれーとばー,<PLEASE_TRANSLATE>,保存用のチョコレート。<br>使用すると空腹度を15回復。,<PLEASE_TRANSLATE>
biscuit02,ぶどう味のゼリー飲料,<PLEASE_TRANSLATE>,ぶどうあじのぜりーいんりょう,<PLEASE_TRANSLATE>,飲むタイプのゼリー。無果汁。<br>使用すると空腹度を15回復。,<PLEASE_TRANSLATE>
-,,,,,,
gun00,ハンドガン,<PLEASE_TRANSLATE>,はんどがん,<PLEASE_TRANSLATE>,遠距離武器。装備して使う。専用の弾薬がなければ使えない。攻撃 + {0} + {1},<PLEASE_TRANSLATE>
gun01,ショットガン,<PLEASE_TRANSLATE>,しょっとがん,<PLEASE_TRANSLATE>,遠距離武器。装備して使う。専用の弾薬がなければ使えない。攻撃 + {0} + {1},<PLEASE_TRANSLATE>
gun03,ライフル,<PLEASE_TRANSLATE>,らいふる,<PLEASE_TRANSLATE>,遠距離武器。装備して使う。専用の弾薬がなければ使えない。攻撃 + {0} + {1},<PLEASE_TRANSLATE>
gun04,サブマシンガン,<PLEASE_TRANSLATE>,さぶましんがん,<PLEASE_TRANSLATE>,遠距離武器。装備して使う。専用の弾薬がなければ使えない。攻撃 + {0} + {1},<PLEASE_TRANSLATE>
-,,,,,,
hammer00,金づち,<PLEASE_TRANSLATE>,かなづり,<PLEASE_TRANSLATE>,近接武器。装備して使う。攻撃 + {0},<PLEASE_TRANSLATE>
hammer01,クギバット,<PLEASE_TRANSLATE>,くぎばっと,<PLEASE_TRANSLATE>,近接武器。装備して使う。攻撃 + {0} + {1},<PLEASE_TRANSLATE>
