id,_text<jpn>,text<eng>
room00,音のしない部屋。<br>でも時間は流れていて、空気は漂っている。,A room without a sound.<br>Yet time still passes， and the air still drifts.
room01,誰かの生活の跡が見える。<br>音の一つもしないところで見かける人の息遣いに、途方もない思いになる。,Someone's life is still evident here.<br>The traces of human presence in a place without a single sound are strangely overwhelming.
corridor00,散らかった廊下の奥は暗い。<br>どこまでもずっと続いて見える。<br>もちろんそんなことはないってわかっているけれど、妄想が勝手に恐怖する。,The far end of the cluttered hallway is dark.<br>It seems to stretch on forever.<br>I know that's not really possible， but my imagination can't help but turn it into something frightening.
corridor01,窓から差す光に、埃が舞っているのが見える。<br>思わず口や鼻を覆いそうになる。,Dust can be seen swirling in the light coming through the window.<br>I almost feel like covering my mouth and nose.
bath00,光が水に揺られて天井を照らしている。<br>ゆらゆら、生きてるみたいに動いて見える。,Light reflected from the water ripples across the ceiling.<br>It sways and flickers， almost as if it were alive.
bath01,ひどい臭いだろう。<br>淀んだ水が、床を踏む振動に波打つ。<br>覗き込んでも、底は見えない。,It must smell terrible.<br>Stagnant water ripples with every vibration of footsteps on the floor.<br>Even peering into it， I can't see the bottom.
warehouse00,扉に鍵がかかっていなくて、希望もあるけれど、同じくらいぞっとする。<br>この陰に何が潜んでいるのか、本当は見たくない。,The door isn't locked， which gives me some hope， but it's just as unsettling.<br>I really don't want to see what might be lurking in these shadows.
warehouse01,静かで、暗くて、ちょっと湿気ている。<br>開けた窓から吹き込む風が、空間の広がりを感じさせる。,It's quiet， dark， and a little damp.<br>The breeze coming through the open window makes the space feel even larger.
kitchen00,テーブルの上に準備しかけの皿が残っていた。<br>真っ黒になっていて、何だったのかもうわからない。<br>ただここにも生活があったんだと思い出す。,There was a plate left half-prepared on the table.<br>It has turned completely black， and I can no longer tell what it once was.<br>Still， it reminds me that someone once lived here too.
kitchen01,どこかで雫が落ちているのが聞こえる。<br>ぽたぽたと、ここでは水が時を刻む。,I can hear a drop of water falling somewhere.<br>Drip by drip， the water keeps time here.
shop00,めぼしいものは全部もっていかれて、棚には何も残っていない。<br>奥に何か見えたと思っても、たいてい、ただの暗がりがあるだけ。,Anything worth taking has already been taken， and the shelves are completely empty.<br>Even when I think I see something in the back， it's usually nothing more than darkness.
shop01,棚から商品のなくなった店というのは異様だった。<br>朽ち果てているのと同じくらい、日常からかけ離れていて、気味が悪い。,A shop with all its goods gone is an unsettling sight.<br>It's just as far removed from everyday life as something left to decay， and somehow disturbing.
office00,黄ばんだ書類が散らばっている。<br>いつかの明日、どこかに送られるはずだった封筒もある。<br>封が切られることは、たぶん、もうない。,Yellowed documents are scattered about.<br>There are even envelopes that were once meant to be sent somewhere， someday.<br>They probably won't ever be opened now.
office01,ここに最後まで残っていた人たちの間で、何が起こったのだろう。<br>折れたテーブルやばらばらにされたコンピュータが転がっている。,I wonder what happened among the people who remained here until the very end.<br>Broken tables and computers torn apart are scattered across the floor.
hall00,広い空間に埃が漂っている。<br>塵の一つひとつが光に照らされて輝く。<br>風がない。<br>埃たちは、いつからこうしているのだろう。,Dust drifts through the vast space.<br>Each tiny particle glitters as it catches the light.<br>There isn't a breath of wind.<br>How long have these specks of dust been drifting like this?
hall01,広い空間に響く足音が、不安を煽る。<br>たった一人でいることを教えられているようで、心細い。,Footsteps echoing through the vast space stir up a sense of unease.<br>It feels as though they are reminding me that I am completely alone， and it is unsettling.
square00,舗装された道を砂が隠す。<br>その上に草が根を張る。<br>こんなに開けたところでも、人がいなければ緑に吞まれてしまう。,Sand is covering the paved road.<br>Grass has taken root over it.<br>Even in a place this open， without people， nature will eventually swallow everything in green.
square01,乗り捨てられた車が歩道に突っ込んでいた。<br>それでも、その先の塀を倒していないから、平穏な景色に思えてしまう。,An abandoned car has crashed onto the sidewalk.<br>Even so， since it hasn't brought down the wall beyond it， the scene somehow feels strangely peaceful.
road00,真っ直ぐな道がどこまでも続いて見える。<br>誰もいない。何もない。,The straight road seems to stretch on forever.<br>There is no one here. There is nothing here.
road01,薄暗い路地は、一見すると平時と何も変わらない。<br>陰から飛び出してくるのが、猫だったらどんなにいいだろう。,At first glance， the dim alley looks no different from how it would in ordinary times.<br>If only what came darting out of the shadows were a cat.
garden00,緑に呑まれてしまった庭。<br>かつてはきっと手入れされていた花が、今は好き勝手に、力強く育っている。,A garden swallowed by greenery.<br>The flowers that must once have been carefully tended are now growing freely， strong and unchecked.
