id,_text<jpn>,text<eng>
scene_room_a00,はがれた壁紙が痛々しい。,<PLEASE_TRANSLATE>
scene_room_a01,白いカーテンが風に揺れていた。,<PLEASE_TRANSLATE>
scene_room_a02,木目調のフローリングに泥の足跡が残されていた。,<PLEASE_TRANSLATE>
scene_room_b00,ガラスの砕けた窓から差す光だけで照らされていた。,<PLEASE_TRANSLATE>
-,,
scene_hutRoom_a00,床に開いた穴の深さが見通せない。,<PLEASE_TRANSLATE>
scene_hutRoom_a01,部屋の四隅には、もれなく蜘蛛の巣が張っている。,<PLEASE_TRANSLATE>
scene_hutRoom_a02,木枠の窓ガラスは割れてしまっている。,<PLEASE_TRANSLATE>
scene_hutRoom_b00,歩くたびに床が軋む。,<PLEASE_TRANSLATE>
scene_hutRoom_b01,木材やら鉄板やらが立てかけられて、散らかっている。,<PLEASE_TRANSLATE>
scene_hutRoom_b02,埃が舞っている。長い間放置されているのは間違いなかった。,<PLEASE_TRANSLATE>
-,,
scene_staffRoom_a00,背の高いロッカーがずらっと並んでいる。,<PLEASE_TRANSLATE>
scene_staffRoom_a01,窓にはブラインドが下りていて薄暗い。,<PLEASE_TRANSLATE>
scene_staffRoom_a02,太陽光発電の時計が今でも動き続けている。,<PLEASE_TRANSLATE>
scene_staffRoom_b00,事務デスクがいくつか並べられていた。,<PLEASE_TRANSLATE>
scene_staffRoom_b01,書類とハンコが散らかされていた。,<PLEASE_TRANSLATE>
-,,
scene_guestRoom_a00,短い廊下の向こうに、ほとんどベッドだけの空間が見える。,<PLEASE_TRANSLATE>
scene_guestRoom_a01,黒で統一された壁紙が落ち着いた雰囲気をつくっていた。,<PLEASE_TRANSLATE>
scene_guestRoom_a02,天井からは小さなシャンデリアが吊るされ、ドアノブの装飾さえ華やかだった。,<PLEASE_TRANSLATE>
-,,
scene_corridor_a00,薄暗い道が続く。,<PLEASE_TRANSLATE>
scene_corridor_a01,リノリウムの床がどこまでも続く。,<PLEASE_TRANSLATE>
