id,_name<jpn>,name<eng>,_ruby<jpn>,ruby<eng>,_description<jpn>,description<eng>
heal00,包帯,Bandages,ほうたい,bandages,傷口を覆う包帯。使用すると体力を40回復。,A bandage used to cover wounds. Restores 40 HP when used.
heal01,救急箱,First-aid kit,きゅうきゅうばこ,first-aid kit,手当をするための道具が揃えた箱。使用すると体力を80回復。,A box containing everything needed for first aid. Restores 80 HP when used.
-,,,,,,
cooking00,サンドイッチ,Sandwich,さんどいっち,sandwich,ハムをパンで挟んだサンドイッチ。<br>使用すると体力を{0}回復、空腹度を{1}回復。,A sandwich made with ham between slices of bread.<br>Restores {0} HP and {1} Hunger when used.
cooking01,ハンバーグ,Hamburger,はんばーぐ,hamburger,コンビーフを砕いて玉ねぎと一緒に練ったハンバーグ。<br>使用すると体力を{0}回復、空腹度を{1}回復。,A hamburger steak made by mincing corned beef and kneading it with onions.<br>Restores {0} HP and {1} Hunger when used.
cooking02,串焼き肉,Skewered meat,くしやきにく,skewered meat,串に刺した肉を直火で焼いた一品。<br>使用すると体力を{0}回復、空腹度を{1}回復。,Meat skewered on a stick and grilled over an open flame.<br>Restores {0} HP and {1} Hunger when used.
cooking03,コンソメスープ,Clear soup,こんそめすーぷ,clear soup,インスタントのコンソメスープ。<br>使用すると体力を{0}回復、空腹度を{1}回復。,Instant clear soup.<br>Restores {0} HP and {1} Hunger when used.
cooking04,おにぎり,Onigiri,おにぎり,onigiri,手に塩をかけて握ったおにぎり。<br>使用すると体力を{0}回復、空腹度を{1}回復。,Onigiri made by salting the hands and shaping rice into balls.<br>Restores {0} HP and {1} Hunger when used.
cooking05,焼きおにぎり,Grilled onigiri,やきおにぎり,grilled onigiri,香ばしい焦げ目をつけたおにぎり。<br>使用すると体力を{0}回復、空腹度を{1}回復。,Onigiri grilled until it has a fragrant， browned crust.<br>Restores {0} HP and {1} Hunger when used.
cooking06,オムレツ,Omelet,おむれつ,omelet,ふんわり焼き上げたオムレツ。<br>使用すると体力を{0}回復、空腹度を{1}回復。,A softly cooked omelet.<br>Restores {0} HP and {1} Hunger when used.
cooking07,たまごサンド,Egg sandwich,たまごさんど,egg sandwich,砕いたゆで卵を挟んだサンドイッチ。<br>使用すると体力を{0}回復、空腹度を{1}回復。,A sandwich filled with crushed boiled eggs.<br>Restores {0} HP and {1} Hunger when used.
cooking08,肉煮込み,Stewed meat,にくにこみ,stewed meat,じっくり時間をかけた肉を煮込んだ一品。<br>使用すると体力を{0}回復、空腹度を{1}回復。,Meat slowly stewed over a long period of time.<br>Restores {0} HP and {1} Hunger when used.
cooking09,玉ねぎスープ,Onion soup,玉ねぎすーぷ,onion soup,玉ねぎをたっぷり使ったスープ。<br>使用すると体力を{0}回復、空腹度を{1}回復。,Soup made with plenty of onions.<br>Restores {0} HP and {1} Hunger when used.
cooking10,焼き魚,Grilled fish,やきざかな,grilled fish,木の串を刺して、焚き火で焼いた魚。<br>使用すると体力を{0}回復、空腹度を{1}回復。,Fish skewered on a wooden stick and grilled over a campfire.<br>Restores {0} HP and {1} Hunger when used.
cooking11,白身魚のオーブン蒸し,Oven-steamed white fish,しろみざかなのおーぶんむし,oven-steamed white fish,時間をかけて蒸した魚料理。<br>使用すると体力を{0}回復、空腹度を{1}回復。,A fish dish steamed slowly in an oven.<br>Restores {0} HP and {1} Hunger when used.
cooking12,ホットサンド,Grilled ham sandwich,ほっとさんど,grilled ham sandwich,ハムをパンで挟んで焼き上げたサンドイッチ。<br>使用すると体力を{0}回復、空腹度を{1}回復。,A ham sandwich grilled between slices of bread.<br>Restores {0} HP and {1} Hunger when used.
cooking13,オニオンリング,Onion rings,おにおんりんぐ,onion rings,薄切りの玉ねぎを油で揚げた一品。<br>使用すると体力を{0}回復、空腹度を{1}回復。,Sliced onions deep-fried in oil.<br>Restores {0} HP and {1} Hunger when used.
cooking14,フライドポテト,French fries,ふらいどぽてと,french fries,細く切ったじゃがいもを油でカラッと。<br>使用すると体力を{0}回復、空腹度を{1}回復。,Potatoes cut into thin strips and fried until crisp.<br>Restores {0} HP and {1} Hunger when used.
cooking15,たまごかけごはん,Egg over rice,たまごかけごはん,egg over rice,白米にたまごを乗せて、さっとかき混ぜただけの簡単な料理。<br>使用すると体力を{0}回復、空腹度を{1}回復。,A simple dish of white rice topped with an egg and quickly mixed together.<br>Restores {0} HP and {1} Hunger when used.
cooking16,ハムエッグ,Ham and eggs,はむえっぐ,ham and eggs,ハムと一緒に焼いた目玉焼き。<br>使用すると体力を{0}回復、空腹度を{1}回復。,A fried egg cooked together with ham.<br>Restores {0} HP and {1} Hunger when used.
cooking17,魚のコンソメ煮,Fish in celar soup,さかなのこんそめに,fish in celar soup,白身魚をコンソメで煮詰めた料理。<br>使用すると体力を{0}回復、空腹度を{1}回復。,White fish simmered in clear soup.<br>Restores {0} HP and {1} Hunger when used.
cooking18,ピザトースト,Pizza toast,ぴざとーすと,pizza toast,パンにチーズをたっぷりかけて焼き上げた。<br>使用すると体力を{0}回復、空腹度を{1}回復。,Bread topped generously with cheese and baked.<br>Restores {0} HP and {1} Hunger when used.
cooking19,肉巻きチーズ,Cheese-wrapped meat,にくまきちーず,cheese-wrapped meat,チーズに薄切り肉を巻いて、じっくり焼き上げた料理。溶けたチーズが食欲をそそる。<br>使用すると体力を{0}回復、空腹度を{1}回復。,Thinly sliced meat wrapped around cheese and slowly grilled. The melted cheese is appetizing.<br>Restores {0} HP and {1} Hunger when used.
cooking20,チーズサンド,Cheese sandwich,ちーずさんど,cheese sandwich,チーズをビスケットで挟んだ一品。<br>使用すると体力を{0}回復、空腹度を{1}回復。,Cheese sandwiched between biscuits.<br>Restores {0} HP and {1} Hunger when used.
cooking21,じゃがいものポタージュ,Potato potage,じゃがいものぽたーじゅ,potato potage,じゃがいものスープ。<br>使用すると体力を{0}回復、空腹度を{1}回復。,Potato soup.<br>Restores {0} HP and {1} Hunger when used.
cooking22,じゃがチーズ焼き,Cheesy potatoes,じゃちーずやき,cheesy potatoes,溶けたチーズとじゃがいもを絡めた一品。<br>使用すると体力を{0}回復、空腹度を{1}回復。,Potatoes coated in melted cheese.<br>Restores {0} HP and {1} Hunger when used.
cooking23,肉じゃが,Nikujaga,にくじゃが,nikujaga,肉やじゃがいもを煮込んだ家庭料理。<br>使用すると体力を{0}回復、空腹度を{1}回復。,A home-style dish of meat and potatoes simmered together.<br>Restores {0} HP and {1} Hunger when used.
cooking24,ポテトサラダ,Potato salad,ぽてとさらだ,potato salad,潰したじゃがいもと野菜のサラダ。<br>使用すると体力を{0}回復、空腹度を{1}回復。,A salad of mashed potatoes and vegetables.<br>Restores {0} HP and {1} Hunger when used.
-,,,,,,
