id,stage,text<jpn>
scene_room_a00,room,The peeling wallpaper is painfully bleak.
scene_room_a01,room,White curtains sway in the breeze.
scene_room_a02,room,Muddy footprints have been left across the wood-grain flooring.
scene_room_b00,room,The room is lit only by the light coming through the shattered windows.
-,, 
scene_hutRoom_a00,hutRoom,The depth of the hole in the floor is impossible to see.
scene_hutRoom_a01,hutRoom,Spiderwebs cover every corner of the room.
scene_hutRoom_a02,hutRoom,The glass in the wooden-framed windows has been shattered.
scene_hutRoom_b00,hutRoom,The floor creaks with every step.
scene_hutRoom_b01,hutRoom,Wooden boards and sheets of metal have been propped up and left scattered about.
scene_hutRoom_b02,hutRoom,Dust hangs in the air. There is no doubt this place has been abandoned for a long time.
-,, 
scene_staffRoom_a00,staffRoom,Tall lockers stand in long rows.
scene_staffRoom_a01,staffRoom,The blinds are drawn over the windows， leaving the room dim.
scene_staffRoom_a02,staffRoom,A solar-powered clock is still ticking away.
scene_staffRoom_b00,staffRoom,Several office desks have been left in rows.
scene_staffRoom_b01,staffRoom,Documents and ink stamps are scattered about.
-,, 
scene_guestRoom_a00,guestRoom,Beyond the short hallway， there is a room containing little more than beds.
scene_guestRoom_a01,guestRoom,The black wallpaper gives the room a calm， subdued atmosphere.
scene_guestRoom_a02,guestRoom,A small chandelier hangs from the ceiling， and even the decorations on the doorknobs are ornate.
-,, 
scene_corridor_a00,corridor,A dim path stretches ahead.
scene_corridor_a01,corridor,The linoleum floor seems to go on forever.
scene_corridor_a02,corridor,A gaudy chandelier hangs from the ceiling.
scene_corridor_b00,corridor,The cold concrete seems to swallow up the light.
scene_corridor_b01,corridor,It is dark and damp.
scene_corridor_b02,corridor,Only doors line the walls， and everything is silent.
-,, 
scene_bath_a00,bath,The sound of drops falling can be heard from somewhere.
scene_bath_a01,bath,Black mold has grown between the pale blue tiles.
scene_bath_a02,bath,The sunlight coming through the window makes everything look almost dried out.
scene_bath_b00,bath,A filthy bathtub lies on the tiled floor.
scene_bath_b01,bath,Spiderwebs cover the place here and there.
scene_bath_b02,bath,A freestanding bathtub sits alone in the spacious room.
-,, 
scene_warehouse_a00,warehouse,The shelves covered in spiderwebs are overflowing with things.
scene_warehouse_a01,warehouse,Things have been piled up carelessly， leaving barely any room to walk.
scene_warehouse_a02,warehouse,Tall shelves stand one after another， obstructing the view.
scene_warehouse_b00,warehouse,It is an eerie warehouse， the decaying wooden floorboards creaking underfoot.
scene_warehouse_b01,warehouse,The walls are made of cracked concrete.
-,, 
scene_kitchen_a00,kitchen,The white walls and wood-grain floor evoke a vague sense of nostalgia.
scene_kitchen_a01,kitchen,An empty wok has been left sitting on a gas stove.
scene_kitchen_a02,kitchen,Something is rotting here and there.
scene_kitchen_b00,kitchen,It almost feels like the sound of something being stir-fried could start at any moment.
-,, 
scene_shop_a00,shop,Several rugged racks stand scattered across the vast open space.
scene_shop_a01,shop,Torn packing materials have been thrown across the white floor.
scene_shop_a02,shop,Empty cardboard boxes are strewn everywhere.
scene_shop_b00,shop,Nothing remains but withered leaves.
-,, 
scene_office_a00,office,Nothing but computers that would be of no use for surviving another day have been left behind.
scene_office_a01,office,Bookshelves cover an entire wall.
scene_office_a02,office,Colorful， unusual chairs stand in rows.
scene_office_b00,office,Silent computers sit lined up on the tables.
scene_office_b01,office,The chairs are filthy， but they must have been quite fine once.
-,, 
scene_hall_a00,hall,A white staircase curves its way up to the second floor.
scene_hall_a01,hall,A staircase covered in red carpet leads up to the second floor.
scene_hall_a02,hall,At the center of the upper floor， a large portrait hangs above the staircase.
scene_hall_b00,hall,A chandelier hangs down from the open second floor.
scene_hall_b01,hall,There are no windows. The room is dimly lit only by the light coming through the door.
-,, 
scene_square_a00,square,Shuttered shops stand one after another.
scene_square_a01,square,The shadows of utility poles fall heavily across the cracked asphalt.
scene_square_a02,square,The roadside trees have been knocked down.
scene_square_b00,square,The silent traffic lights look lonely.
scene_square_b02,square,Looking up， there is a pedestrian overpass stretching across the road.
-,, 
scene_road_a00,road,Old houses stand one after another.
scene_road_a01,road,They have been overgrown with plants bursting out from everywhere.
scene_road_a02,road,Old houses and newly built apartments form a strange pattern.
scene_road_b00,road,The road is narrow. A one-way sign hangs there pointlessly.
scene_road_b01,road,The area is surrounded by abandoned fields.
scene_road_b02,road,The road slopes gently upward.
-,, 
scene_garden_a00,garden,There are traces of what was once a small home garden.
scene_garden_a01,garden,An empty doghouse stands there forlornly.
scene_garden_a02,garden,Perhaps because of the lack of rain， the flowers have wilted.
scene_garden_b00,garden,It is a garden enclosed by concrete blocks.
scene_garden_b01,garden,It is surrounded by a high wall and covered with decorative gravel.
scene_garden_b02,garden,The ground is completely covered in gravel.
-,, 
scene_tent_a00,tent,Perhaps some animal got inside; the place has been thoroughly ransacked.
scene_tent_a01,tent,Small lights hang from the ceiling beams.
scene_tent_a02,tent,Perhaps because of the wind， the support poles have become tilted.
scene_tent_b00,tent,Sleeping bags and empty cans of food have been left behind.
-,, 
scene_grassland_a00,grassland,There are traces of soil being dug up and campfires being made.
scene_grassland_a01,grassland,Small white flowers bloom here and there.
scene_grassland_a02,grassland,A white trailer home sits in the distance.
scene_grassland_b00,grassland,Everything around is green.
scene_grassland_b01,grassland,A peaceful landscape stretches out before you.
scene_grassland_b02,grassland,Tall grass has grown thick across the entire area.
-,, 
scene_riverside_a00,riverside,Fish can be seen swimming through the clear water.
scene_riverside_a01,riverside,Rounded stones can be seen scattered along the bottom.
scene_riverside_a02,riverside,The water source must be somewhere high up in the mountains.
scene_riverside_b00,riverside,The gentle current looks cool and refreshing.
scene_riverside_b01,riverside,Clear water and a calm breeze flow through the area.
scene_riverside_b02,riverside,The calls of wild birds can be heard.
-,, 
scene_beach_a00,beach,Bits of trash and driftwood left behind by someone can be found here and there.
scene_beach_a01,beach,Everything is pure white as far as the eye can see.
scene_beach_a02,beach,The beach stretches out in a gentle arc.
scene_beach_b00,beach,The waves are calm.
scene_beach_b01,beach,The waves crash loudly， and the wind is strong.
scene_beach_b02,beach,The waves are surging violently against the shore.
-,, 
scene_shore_a00,shore,Someone must have been here until recently; their belongings are soaked in seawater.
scene_shore_a01,shore,If you're not careful， your shoes will get wet.
scene_shore_a02,shore,Dark-colored seaweed can be seen washing ashore.
scene_shore_b00,shore,The spray kicked up by the waves is powerful along the water's edge.
scene_shore_b01,shore,A peaceful moment passes with the sea breeze.
-,, 
scene_library_a00,library,Rows of tightly packed bookshelves stretch as far as the eye can see.
scene_library_a01,library,The book spines absorb all the light coming through the windows， leaving the room dim.
scene_library_a02,library,The bookshelves are missing books here and there.
scene_library_b00,library,The aisles are narrow.
scene_library_b01,library,Large books stand in long rows.
-,, 
scene_machineRoom_a00,machineRoom,Machines whose purpose is impossible to tell stand in long rows.
scene_machineRoom_a01,machineRoom,Oil stains have seeped into the green mats.
scene_machineRoom_a02,machineRoom,Pieces of pitch-black rubber have been stuffed into metal drums.
scene_machineRoom_b00,machineRoom,The silence is eerie.
scene_machineRoom_b01,machineRoom,Footsteps echo throughout the spacious room.
-,, 
scene_carryIn_a00,carryIn,The shutters have been left open， leaving the place empty and bare.
scene_carryIn_a01,carryIn,Everything that was brought inside has simply been left behind.
scene_carryIn_a02,carryIn,The warehouse in the back is filled with nothing but pitch darkness.
scene_carryIn_b00,carryIn,Cargo has been piled up.
scene_carryIn_b02,carryIn,There is only enough space for one car to park.
-,, 
scene_parking_a00,parking,Abandoned cars are parked haphazardly.
scene_parking_a01,parking,Cars without their owners sit there silently.
scene_parking_a02,parking,Hardly any cars remain.
scene_parking_b00,parking,The asphalt is hot enough to scorch.
scene_parking_b02,parking,There is a payment machine at the exit.
-,, 
scene_gallery_a00,gallery,Artifacts excavated from ancient ruins are displayed in rows.
scene_gallery_a01,gallery,Fossils of dinosaurs and prehistoric creatures hang from above.
scene_gallery_a02,gallery,Ancient books line the shelves behind glass.
scene_gallery_b00,gallery,The exhibits standing in the darkness are eerie.
scene_gallery_b01,gallery,The place is so vast that the light doesn't reach the back.
scene_gallery_b02,gallery,The overwhelming silence makes your legs tremble.
-,, 
scene_attractions_a00,attractions,Perhaps from years without maintenance， parts of it look loose and unstable.
scene_attractions_a01,attractions,It sways in the wind， creaking softly.
scene_attractions_a02,attractions,Whatever happened here， discarded mascot costumes lie covered in dirt.
scene_attractions_b00,attractions,They are rusted solid and look as though they could never move again.
scene_attractions_b02,attractions,They probably never will.
-,, 
scene_hospitalRoom00,hospitalRoom,It is white and spacious.
scene_hospitalRoom01,hospitalRoom,It shouldn't really be this large， but the stark room feels strangely vast.
scene_hospitalRoom02,hospitalRoom,White sheets have been neatly folded. Their meticulousness is strangely painful.
scene_hospitalRoom03,hospitalRoom,The whiteness of the walls is blinding. Even with only a little sunlight coming through the window， the white room seems to rise out of the darkness.
-,, 
scene_classroom00,classroom,Even an after-school classroom was never this quiet.
scene_classroom01,classroom,The desks and chairs are neatly arranged.<br>It makes you wonder if the children might come back tomorrow morning.
scene_classroom02,classroom,Cream-colored curtains sway in the breeze.
scene_classroom03,classroom,For some reason， school classrooms always have a peculiar dimness to them.
-,, 
scene_underpass00,underpass,A road without any lights stretches endlessly ahead.
scene_underpass01,underpass,A strong wind blows through.<br>Where did it come from， and where is it going?
scene_underpass02,underpass,Footsteps echo far into the distance.
scene_underpass03,underpass,The humidity is heavy enough to see.
-,, 
scene_dining00,dining,Dust has settled over the tables as well.
scene_dining01,dining,The polished glasses sharply reflect the light coming through the windows.
scene_dining02,dining,Everything is so well maintained that it feels as though the day is about to begin.
scene_dining03,dining,Only a small amount of half-eaten food remains on the table.
-,, 
scene_marble00,marble,What on earth is happening?<br>A strange sound can be heard， something like noise， but not quite.
scene_marble01,marble,A meaningless sequence of sounds suddenly begins to sound like a familiar melody.
scene_marble02,marble,It feels as though only footsteps are echoing.<br>But if so， is this place really spacious enough for the sound to echo?
scene_marble03,marble,You probably wouldn't be able to smell anything at all.<br>What would it feel like to have absolutely no smell whatsoever?
-,,
