id,storyImage,storySound,chapter<jpn>,storyTitle<jpn>,storyOutline<jpn>,storyTarget<jpn>
main0-1,-,-,-,-,-,-
main0-2,-,-,-,-,-,-
main0-3,-,-,-,-,-,-
main0-4,-,-,-,-,-,-
main0-5,-,-,-,-,-,-
main0-6,scenario00,character00,Prologue,The Unknown Summer Girl,An unknown virus turned people into mindless monsters， and the world collapsed. But no such epidemic has actually occurred in the real world. <br><br>Is what she's saying true? If so， where is she? <br>For now， all I can do is talk to her through this outdated computer...,Explore to gather information and supplies
main1-1,scenario00,story00,Episodes 1 - 1,The Infected Man,While out exploring， I came across an infected man. <br> He was fully conscious and able to hold a conversation， but something about him seemed off. <br> He let out a death cry， and a mobile device burst out of his stomach as if it were tearing through him. <br> It was as if it had just been born from inside him... <br> Or perhaps， I thought， he himself had turned into the mobile device.,Explore to gather information and supplies
main1-2,scenario02,story00,Episodes 1 - 2,Camping in the Mountains,Led by Akane a woman I met by chance in a town where everyone disappeared， I ventured deep into the mountains. There， I found people， belongings， and a bonfire burning in the center. It was a camp set up in an abandoned warehouse. <br><br>She didn't mention her cell phone. I wasn't sure if I should be happy about that， but the thought that we'd still be able to talk made me feel a little relieved.,Help the people at the camp
main1-3,scenario02,story00,Episodes 1 - 3,Things in the World,It felt as if I were listening to a story from a place far， far away. <br><br>Maybe it really is a place far， far away. Even though they're just ordinary girls talking about everyday things， the worlds they live in are so vastly different. <br><br>I'm still not sure how to make sense of it all.,Help the people at the camp
main1-4,location14,story00,Episodes 1 - 4,A Nostalgic View,She looked at the sea and said it felt nostalgic.<br>But there was a sadness in the edges of her words， as if she knew she might never see it again.<br><br>It seemed she still didn't know how to accept it herself. Reality had come without mercy and taken so much away from them.,Help the people at the camp
main1-5,scenario03,story00,Episodes 1 - 5,What Remains the Same,Work， love things like that. While we were talking about those things， they were just ordinary girls. <br><br>Even now， I realized that those everyday moments haven't disappeared. It was somehow reassuring， yet it also felt eerily unsettling. <br>Even as we laughed together， the world remained unchanged—and just as crazy as ever.,Help the people at the camp
main1-6,-,-,-,-,-,-
main1-7,-,-,-,-,-,-
main1-8,scenario00,story00,Episodes 1 - 6,Being alone ,The camp was attacked. Even that once-peaceful place wasn't safe. There's probably no such thing as a safe place anywhere. <br><br>She continues her journey alone once again. Without having a destination. If she stays in one place， she'll eventually run out of supplies—so the car she's driving has no destination. <br><br>Still， she must keep traveling to survive. ,Survive
main2-1,scenario00,story00,Episodes 2 – 1,Traveling alone,<q>I've gotten used to being alone</q>， she said—and she didn't seem to be lying. <br>Her words were so straightforward that I didn't know how to respond. <br><br>Even when she said， <q>It's okay to forget</q>， she didn't look sad. <br>She was simply sad about the fact that she had grown accustomed to it.,Survive
main2-2,location13,story00,Episodes 2 - 2,Reunion,It was an unexpected reunion. It was almost like a miracle. <br>In a world where it's harder to find people who are actually alive， the word <q>miracle</q> isn't an exaggeration at all. <br><br>After talking to a third party， I realized once again just how abnormal this situation was. I wonder where on earth this computer is communicating with.,Help the people at the camp
main2-3,scenario08,story00,Episodes 2 - 3,Antenna,I saw a person with antennas growing out of their body. It was as if they'd been parasitized by metal iron antennas were sprouting from their body. <br><br>It seems the people living at the camp are researchers who were brought together to investigate the pandemic. According to their findings， there is no virus or bacterium causing this pandemic. So what is causing antennas to grow out of people?,Help the people at the camp
main2-4,location13,story00,Episodes 2 - 4,Receiving a message ,When she connected the antenna extracted from an infected person to a circuit， it picked up some kind of signal. It seems that other items taken from infected people can sometimes emit similar signals. <br><br>Someone is speaking to us， that was Akane's theory. As people try to respond to the voice， their bodies begin to go haywire. <br>If that's the case， who is speaking?,Help the people at the camp
main2-5,-,-,-,-,-,-
main2-6,-,-,-,-,-,-
main2-7,scenario08,story00,Episodes 2 - 5,Mind and Body,Someone is trying to communicate?<br>Who could possibly be speaking to them? Maybe it isn't even something you could call <q>someone</q>. Maybe a star somewhere in the universe exploded， and its aftereffects are driving human bodies mad.<br><br>But could something like that really affect the human body?<br>Whatever I think about it， it's all just speculation.,Survive
main2-8,scenario07,story00,Episodes 2 - 6,Disappearance,Not a virus. Someone trying to communicate. Aliens...<br>She suddenly disappeared while we were talking about things like that.<br>In a world like this， maybe it isn't unusual for someone to go into town and never come back. But if she left without even saying where she was going， maybe there was a reason—<br><br>Or am I just thinking that because I want it to be true?,Set out to search
main3-1,scenario07,story00,Episodes 3 - 1,Her Feelings,<q>Do you remember?</q> she asked， and I remembered the first time we met.<br>Of course I had never forgotten. And yet， looking back， it felt like it had happened so long ago. Somehow， talking to her in front of this computer had become an ordinary part of my life.<br><br>But for some reason， I couldn't bring myself to tell her how I felt about that.,Survive
main3-2,-,-,-,-,-,-
