id,location,type,text<jpn>
room00,-,room,A room without a sound.<br>Yet time still passes， and the air still drifts.
room01,-,room,Someone's life is still evident here.<br>The traces of human presence in a place without a single sound are strangely overwhelming.
corridor00,-,corridor,The far end of the cluttered hallway is dark.<br>It seems to stretch on forever.<br>I know that's not really possible， but my imagination can't help but turn it into something frightening.
corridor01,-,corridor,Dust can be seen swirling in the light coming through the window.<br>I almost feel like covering my mouth and nose.
bath00,-,bath,Light reflected from the water ripples across the ceiling.<br>It sways and flickers， almost as if it were alive.
bath01,-,bath,It must smell terrible.<br>Stagnant water ripples with every vibration of footsteps on the floor.<br>Even peering into it， I can't see the bottom.
warehouse00,-,warehouse,The door isn't locked， which gives me some hope， but it's just as unsettling.<br>I really don't want to see what might be lurking in these shadows.
warehouse01,-,warehouse,It's quiet， dark， and a little damp.<br>The breeze coming through the open window makes the space feel even larger.
kitchen00,-,kitchen,There was a plate left half-prepared on the table.<br>It has turned completely black， and I can no longer tell what it once was.<br>Still， it reminds me that someone once lived here too.
kitchen01,-,kitchen,I can hear a drop of water falling somewhere.<br>Drip by drip， the water keeps time here.
shop00,-,shop,Anything worth taking has already been taken， and the shelves are completely empty.<br>Even when I think I see something in the back， it's usually nothing more than darkness.
shop01,-,shop,A shop with all its goods gone is an unsettling sight.<br>It's just as far removed from everyday life as something left to decay， and somehow disturbing.
office00,-,office,Yellowed documents are scattered about.<br>There are even envelopes that were once meant to be sent somewhere， someday.<br>They probably won't ever be opened now.
office01,-,office,I wonder what happened among the people who remained here until the very end.<br>Broken tables and computers torn apart are scattered across the floor.
hall00,-,hall,Dust drifts through the vast space.<br>Each tiny particle glitters as it catches the light.<br>There isn't a breath of wind.<br>How long have these specks of dust been drifting like this?
hall01,-,hall,Footsteps echoing through the vast space stir up a sense of unease.<br>It feels as though they are reminding me that I am completely alone， and it is unsettling.
square00,-,square,Sand is covering the paved road.<br>Grass has taken root over it.<br>Even in a place this open， without people， nature will eventually swallow everything in green.
square01,-,square,An abandoned car has crashed onto the sidewalk.<br>Even so， since it hasn't brought down the wall beyond it， the scene somehow feels strangely peaceful.
road00,-,road,The straight road seems to stretch on forever.<br>There is no one here. There is nothing here.
road01,-,road,At first glance， the dim alley looks no different from how it would in ordinary times.<br>If only what came darting out of the shadows were a cat.
garden00,-,garden,A garden swallowed by greenery.<br>The flowers that must once have been carefully tended are now growing freely， strong and unchecked.
garden01,-,garden,Vines crawling along the wall have made their way inside through a window left wide open.<br>I can't help but wonder， just a little， what the inside of the house looks like now.
machineRoom00,-,machineRoom,I wonder what this machine was used for.<br>Of course， simply looking at it won't tell me.<br>It makes me wonder if there might not be a single person left anywhere in the world who knows how to use it.
machineRoom01,-,machineRoom,I wonder what these were supposed to be made into.<br>Sheets of rubber and iron are spread out everywhere.
carryIn00,-,carryIn,Logistics have come to a halt.<br>Even that alone is enough to make the way people used to live completely impossible.<br>Looking at the containers that will never be shipped out again fills me with a hopeless sense of despair.
carryIn01,-,carryIn,This is where goods would arrive， loaded onto trucks.<br>Of course， nothing is being transported now， but I rarely get to see a loading entrance like this， so somehow it's a little exciting.
parking00,-,parking,I wonder if people tried to escape by car.<br>Would they have avoided using cars， knowing there might be traffic jams or that they could run out of fuel along the way?<br>Now， all I can do is imagine what happened from the things left behind.
parking01,-,parking,Even asphalt seems like it could melt under the sunlight.<br>The blue of the sky above is almost painful to look at.
gallery00,-,gallery,No matter how valuable something may be， no one is likely to pay it any attention anymore.<br>Relics of the past are of no use when it comes to surviving the present.<br>I suppose all kinds of things are simply being lost.
gallery01,-,gallery,An animal specimen casts a large shadow in the light coming through the door.<br>Anything shaped like a living creature makes me instinctively tense up.
attractions00,-,attractions,I wonder if the day will ever come when people can enjoy things like this again.<br>Right now， I can't imagine such a thing at all.
attractions01,-,attractions,The shadow of a roller coaster stands out against the blue sky.<br>I look up until my neck starts to hurt， and somehow， just doing that makes me feel happy.
-,,,
