id,_text<jpn>,text<eng>
-,,
splashMessage,<br><br><br><br>Kazuhide Oka<br><br>Chiji<br><br>ruichiro<br>,<br><br><br><br>Kazuhide Oka<br><br>Chiji<br><br>ruichiro<br>
cautionMessage,<br><br><br><br><br>本作はフィクションです。<br>実在の人物や団体などとは関係ありません。<br><br><br><br>本作は「自動セーブ」に対応しています。<br>進行状況は、特定の場面で自動的に保存されます。,<br><br><br><br><br>This work is a fiction.<br>It has no connection to any real people， organizations， or other entities.<br><br><br><br>This game supports <q>Auto Save</q>.<br>Your progress is automatically saved at certain points.
-,,
titleCredit,クレジット,Credit
creditTitle,Credit,Credit
creditText,企画/制作/シナリオ　Kazuhide Oka<br><br><br>キャラクターデザイン　Chiji<br><br><br>サウンドトラック　ruichiro,Planning / Development / Scenario :  Kazuhide Oka<br><br><br>Character Design : <br>Chiji<br><br><br>Soundtrack : <br>Ruichiro
creditClose,とじる,Close
-,,
menuStoryText,物&nbsp;&nbsp;&nbsp;語,S&nbsp;T&nbsp;O&nbsp;R&nbsp;Y
menuExprolerText,再&nbsp;&nbsp;&nbsp;生,E&nbsp;X&nbsp;P&nbsp;L&nbsp;O&nbsp;R&nbsp;E
menuHouseText,荷&nbsp;&nbsp;&nbsp;物,I&nbsp;N&nbsp;V&nbsp;E&nbsp;N&nbsp;T&nbsp;O&nbsp;R&nbsp;Y
-,,
storyBack,&lt;,&lt;
storyNext,&gt;,&gt;
-,,
itemBoxInfoPrev0,&lt;,&lt;
itemBoxInfoPrev1,&lt;,&lt;
itemBoxInfoNext0,&gt;,&gt;
itemBoxInfoNext1,&gt;,&gt;
houseItemInfoPrev,&lt;,&lt;
houseCraftInfoPrev,&lt;,&lt;
houseItemInfoNext,&gt;,&gt;
houseCraftInfoNext,&gt;,&gt;
houseItemName,収納棚,Storage Shelf
houseCraftName,製作台,Crafting Station
-,,
statusItemPrev0,&lt;,&lt;
statusItemPrev1,&lt;,&lt;
statusItemNext0,&gt;,&gt;
statusItemNext1,&gt;,&gt;
statusSkill0,特徴,Traits
statusSkill1,特徴,Traits
questInputHistory0,候補,Suggestions
questInputHistory1,候補,Suggestions
questSend0,話す,Talk
questSend1,話す,Talk
questTextAuto,AUTO,AUTO
logueTextAuto,AUTO,AUTO
-,,
endingMessage,End.,End.
-,,
gameOverMessage,G A M E &nbsp;&nbsp; O V E R,G A M E &nbsp;&nbsp; O V E R
gameOverContinue,つづける,Continue
gameOverToTitle,タイトルへ,Title
-,,
optionTitle,Option,Option
optionClose,とじる,Close
-,,
questionTitle,Help,Help
questionClose,とじる,Close
-,,
helpTitle,Help,Help
helpClose,とじる,Close
-,,
catalogPagePrev,&lt;,&lt;
catalogPageNext,&gt;,&gt;
catalogClose,とじる,Close
-,,
selectorLeft,&lt;,&lt;
selectorRight,&gt;,&gt;
-,,
-,,
yes,はい,Yes
no,いいえ,No
-,,
confirm_exit,ゲームを終了します。<br>よろしいですか？,Exiting the game. <br> Are you sure?
confirm_clearSave,セーブデータを削除します。<br>※システムデータ（オプション設定など）は削除されません。<br><br>よろしいですか？,Delete save data. <br>System data (such as option settings) will not be deleted. <br><br>Are you sure?
confirm_animationCut,一部のアニメーションを無効にすることでフレームレートを安定させます。<br>アニメーションカットをONにしますか？,Disabling some animations will stabilize the frame rate. <br>Do you want to turn on animation culling?
confirm_house,荷物がいっぱいのキャラクターがいます。<br>荷物を<red>収納棚に預ける</red>ことができますが、このまま再生しますか？,Some characters have full inventories.<br>You can <red>Store items in Storage Shelf</red>. Do you want to continue exploring as is?
confirm_nextScenario,すでにエピソード進行条件を満たしています。<br><red>次の物語に進む</red>ことができますが、このまま再生しますか？,You have already met the requirements to advance the episode. <br><red>You can proceed to the next part of the story</red>， would you like to continue ?
confirm_go_story,「物語」へ,Go to STORY
confirm_go_house,「荷物」へ,Go to HOUSE
confirm_go_exproler,「再生」へ,Go to EXPLORER
-,,
story_target,次の目的：,Next objective:
story_target_invalid,他の物語を進める　<br>（条件を満たしていないため、この物語を進めることができません）,Continue another story<br>(You have not met the requirements to continue this story)
story_target_continue,他の物語を進める　<br>（この物語は完結しました）,Continue another story<br>(This story has been completed)
story_target_replay,もう一度この物語を読む　<br>（この物語は完結済みです）,Read this story again<br>(This story has been completed)
story_target_noCondition,（エピソード進行条件：なし）,(Episode progression requirement: None)
story_target_questCount,（{0}件探索し、無事に帰ってくる：{1}）,(Explore {0} location and return safely: {1})
story_target_questProgress,（{0}件続けて探索し、無事に帰ってくる：{1}）,(Explore {0} locations in a row and return safely: {1})
story_target_visitLocation,（「{0}」を探索し、無事に帰ってくる：{1}）,(Explore <q>{0}</q> and return safely: {1})
story_target_memoryItem,（エピソード進行アイテム&lt;{0}&gt; を見つける：{1}）,(Find an episode progression item &lt;{0}&gt;: {1})
story_target_deleteWorld,（決断をする）,(Make a decision)
story_target_reboot,（コンピュータから離れる）,(Leave the computer)
story_target_questTimeLimit,（{0}回探索する間に次のキャンプ地を見つける：残り{1}回）,(Find the next campsite within {0} explorations: {1} remaining)
story_targetDescription_invalid,エピソード進行条件<br><br>条件を満たしていないため、<red>このエピソードを進めることができません</red>。<br>ほかのエピソードを進行させることで、このエピソードを進行させられるようになります。,Episode Progression Requirement<br><br>You have not met the requirements， so <red>you cannot progress this episode</red>.<br>You will be able to progress this episode by advancing other episodes.
story_targetDescription_questCount,エピソード進行条件<br><br><red>{0}件</red>探索することでエピソードが進行します。<br>（GameOverになった場合、空腹で探索を中断した場合は回数に数えられません）,Episode Progression Requirement<br><br>The episode will progress when you explore <red>{0} location(s)</red>.<br>(Game Overs and explorations ended early due to hunger do not count.)
story_targetDescription_noCondition,エピソード進行条件<br><br>エピソードを進行させるための条件はありません。<br>すぐに次のエピソードに進むことができます。,Episode Progression Requirement<br><br>There are no requirements for progressing this episode.<br>You can proceed to the next episode immediately.
story_targetDescription_questProgress,エピソード進行条件<br><br><red>連続して{0}件</red>探索することで、エピソードが進行します。<br>（GameOverになった場合、空腹で探索を中断した場合は回数に数えられません）,Episode Progression Requirement<br><br>The episode will progress when you explore <red>{0} locations in a row</red>.<br>(Game Overs and explorations ended early due to hunger do not count.)
story_targetDescription_visitLocation,エピソード進行条件<br><br><red>{0}</red>を探索することでエピソードが進行します。<br>（たどり着いても、途中でGameOverになった場合、空腹で探索を中断した場合は探索した扱いになりません）,Episode Progression Requirement<br><br>The episode will progress when you explore <red>{0}</red>.<br>(Even if you reach it， it will not count as explored if you get a Game Over or end the exploration due to hunger before returning.)
story_targetDescription_memoryItem,エピソード進行条件<br><br>探索で<red>エピソード進行アイテム</red>を{1}つ見つけることでエピソードが進行します。<br>（見つけても、途中でGameOverになった場合、空腹で探索を中断した場合は見つけた扱いになりません）<br><br>エピソード進行アイテム&lt;{0}&gt; : {2},Episode Progression Requirement<br><br>The episode will progress when you find {1} <red>episode progression item(s)</red> while exploring.<br>(Even if you find one， it will not count if you get a Game Over or end the exploration due to hunger before returning.)<br><br>Episode Progression Item &lt;{0}&gt;: {2}
story_targetDescription_reboot,エピソード進行条件<br><br>今ここで、できることは何もありません。<br>一度、コンピュータから離れてみましょう。,Episode Progression Requirement<br><br>There is nothing more you can do here right now.<br>Try stepping away from the computer for a while.
story_targetDescription_notFound,エピソード進行条件<br><br>現在のエピソード進行条件を確認することができません。,Episode Progression Requirement<br><br>The current episode progression requirements cannot be checked.
story_targetDescription_questTimeLimit,キャンプ地<br><br><red>{0}回</red>探索するまでに、次のキャンプ地を見つけてください。<br>見つけられない場合、周囲の探索地から物資が見つかりにくくなったり、感染者が集まってくるようになります。,Campsite<br><br>Find the next campsite within <red>{0} explorations</red>.<br>If you fail to find one， supplies will become harder to find at nearby locations， and the Infected will begin gathering.
story_outline_nextDestination,<br><br>{1}まで、あと{0}件。,<br><br>{0} location(s) remaining until {1}.
story_scenario_advance,次の物語を進める,Continue to the next story
story_confirm_advance_memoryItem,エピソード進行アイテム「<red>{0}</red>」を1つ消費して、次の物語に進みます。<br>よろしいですか？,Consume one episode progression item <q><red>{0}</red></q> to proceed to the next story.<br>Are you sure?
story_confirm_advance_other,<red>エピソード進行条件</red>を満たしています。<br>次の物語に進みます。よろしいですか？,You have met the <red>episode progression requirements</red>.<br>Proceed to the next episode. Are you sure?
story_confirm_advance_storyMode,<red>STORY</red>モードに設定されているため、<br>エピソード進行条件をスキップして次の物語に進みます。<br>よろしいですか？,Because <red>STORY</red> mode is enabled，<br>the episode progression requirements will be skipped and you will proceed to the next story.<br>Are you sure?
story_confirm_replay,もう一度、この物語を読みますか？<br>（この物語はすでに完結しています）,Read this story again?<br>(This story has already been completed)
story_other_invalid,<br>条件を満たしていないため、この物語を<red>進めることができません</red>。<br>他の物語を進める必要があります。,<br>You have not met the requirements， so <red>you cannot progress this story</red>.<br>You need to progress another story first.
story_other_continue,<br>この物語は<red>完結</red>しました。<br>他の物語を進めることができます。,<br>This story has been <red>completed</red>.<br>You can now progress another story.
story_confirm_deleteWorld,すべてのデータを削除します。<br><br>よろしいですか？<br>,All data will be deleted.<br><br>Are you sure?<br>
story_confirm_deleteWorld_caution,<br>本当に削除しますか？<br>,<br>Are you really sure you want to delete it?<br>
story_skip_condition,スキップ,Skip
story_skip_condition_confirm,<br>「<red>{0}</red>」を消費して、エピソード進行条件を<red>スキップ</red>します。<br>よろしいですか？,<br>Consume “<red>{0}</red>” to <red>skip</red> the episode progression requirement.<br>Are you sure?
story_skip_condition_craft,<br>「<red>{0}</red>」をクラフトすることで、エピソード進行条件を<red>スキップ</red>できます。<br>クラフトしますか？,<br>Craft “<red>{0}</red>” to <red>skip</red> the episode progression requirement.<br>Craft it?
-,,
exproler_path,Disc:&nbsp;/&nbsp;,Disc:&nbsp;/&nbsp;
exproler_completed,&nbsp;End.,&nbsp;End.
exproler_playNewFile,新しいデータを再生,Play Data
exproler_playComplete,progress : {0},progress : {0}
exproler_playFailed,failed,failed
exproler_locationdDscription,{0} について&nbsp;&nbsp;<br>（詳細を見る）&nbsp;&nbsp;,About {0}&nbsp;&nbsp;<br>(View Details)&nbsp;&nbsp;
exproler_endlressCharacterEpisode,完結したキャラクターエピソード : {0}/{1},Completed Character Episodes: {0}/{1}
exproler_endlressCollection,手に入れた蒐集品 : {0}/{1},Collections Obtained: {0}/{1}
exproler_endlressItem,手に入れたアイテム : {0}/{1},Items Obtained: {0}/{1}
-,,
house_unknown,？？？？,？？？？
house_unknownDescription,<br>？？？？<br><br>（素材を1つ以上所持していると開放されます）,<br>????<br><br>(Unlocked when you have at least one material)
house_noRecipeDescription,<br>？？？？<br><br>（レシピ/設計図を手に入れると開放されます）,<br>????<br><br>(Unlocked when you obtain a recipe/blueprint)
house_description,詳細,Description
house_remove,捨てる,Remove
house_craft,クラフト,Craft
house_craftTarget,クラフト先,Craft Into
house_recipe,レシピ,Recipe
house_materialCount,（所持数 : {0}）,(Owned: {0})
house_pushItem,{0}へ,To {0}
house_pushItemMultiple,{0}へ（x{1}）,To {0} (x{1})
house_popItem,しまう,Store
house_popItemMultiple,しまう（x{1}）,Store (x{1})
house_equip,装備,Equip
house_unequip,はずす,Unequip
house_none,なし,None
house_open,開ける,Open
house_use,使う,Use
house_scenario,エピソードへ,Go to the Episode
house_mission,届ける,Deliver
house_departure,出発する,Depart
house_fullWarning,収納棚がいっぱいです。<br>不要な道具を捨ててください。,The Storage Shelf is full.<br>Please discard any unnecessary items.
house_removeWarning,<red>{0}</red>&nbsp;を捨てます。<br>よろしいですか？,Discard <red>{0}</red>&nbsp;.<br>Are you sure?
house_confirmRemoveCount,<red>{0}</red>&nbsp;をいくつ捨てますか？,How many <red>{0}</red>&nbsp;do you want to discard?
