id,_arg0<jpn>,arg0<eng>,_arg1<jpn>,arg1<eng>
-,,,,
itsuka1-1,scenario35,scenario35,,
itsuka1-1,character00,character00,,
itsuka1-1,natsuno,natsuno,......,......
itsuka1-1,natsuno,natsuno,......あれ,<PLEASE_TRANSLATE>
itsuka1-1,natsuno,natsuno,どこだろ,<PLEASE_TRANSLATE>
itsuka1-1,natsuno,natsuno,......,......
itsuka1-1,natsuno,natsuno,......あー,<PLEASE_TRANSLATE>
itsuka1-1,natsuno,natsuno,また......？,<PLEASE_TRANSLATE>
itsuka1-1,natsuno,natsuno,......,......
itsuka1-1,1,1,,
itsuka1-1,1,1,,
itsuka1-1,,,,
itsuka1-1,1,1,,
itsuka1-1,1,1,,
itsuka1-1,1,1,,
itsuka1-1,natsuno,natsuno,おーい,<PLEASE_TRANSLATE>
itsuka1-1,natsuno,natsuno,イツカー......？,<PLEASE_TRANSLATE>
itsuka1-1,itsuka,itsuka,......,......
itsuka1-1,itsuka,itsuka,............,............
itsuka1-1,natsuno,natsuno,......,......
itsuka1-1,natsuno,natsuno,もー......,<PLEASE_TRANSLATE>
itsuka1-1,natsuno,natsuno,ねぇ,<PLEASE_TRANSLATE>
itsuka1-1,natsuno,natsuno,イツカ,<PLEASE_TRANSLATE>
itsuka1-1,natsuno,natsuno,朝だよ,<PLEASE_TRANSLATE>
itsuka1-1,natsuno,natsuno,起きてよ,<PLEASE_TRANSLATE>
itsuka1-1,natsuno,natsuno,ごはん、つくっちゃったよ,<PLEASE_TRANSLATE>
itsuka1-1,itsuka,itsuka,......,......
itsuka1-1,itsuka,itsuka,......いらない,<PLEASE_TRANSLATE>
itsuka1-1,natsuno,natsuno,えー,<PLEASE_TRANSLATE>
itsuka1-1,natsuno,natsuno,せっかくつくったのに,<PLEASE_TRANSLATE>
itsuka1-1,natsuno,natsuno,朝ごはん食べないと元気でない......,<PLEASE_TRANSLATE>
itsuka1-1,natsuno,natsuno,......って言ってたよ？,<PLEASE_TRANSLATE>
itsuka1-1,itsuka,itsuka,......,......
itsuka1-1,itsuka,itsuka,......誰が？,<PLEASE_TRANSLATE>
itsuka1-1,natsuno,natsuno,誰だっけ,<PLEASE_TRANSLATE>
itsuka1-1,natsuno,natsuno,お母さん？,<PLEASE_TRANSLATE>
itsuka1-1,itsuka,itsuka,......,......
itsuka1-1,itsuka,itsuka,......おやすみ,<PLEASE_TRANSLATE>
itsuka1-1,survivor00,survivor00,right-right,right-right
itsuka1-1,natsuno,natsuno,......えー,<PLEASE_TRANSLATE>
itsuka1-1,1,1,,
itsuka1-1,1,1,,
itsuka1-1,,,,
itsuka1-1,survivor00,survivor00,right-right,right-right
itsuka1-1,,,,
itsuka1-1,1,1,,
itsuka1-1,1,1,,
itsuka1-1,2,2,,
itsuka1-1,survivor06,survivor06,right-left,right-left
itsuka1-1,character06,character06,,
itsuka1-1,itsuka,itsuka,......ふぁぁ,<PLEASE_TRANSLATE>
itsuka1-1,natsuno,natsuno,まだ眠い？,<PLEASE_TRANSLATE>
itsuka1-1,survivor06,survivor06,right-left,right-left
itsuka1-1,itsuka,itsuka,まぁね,<PLEASE_TRANSLATE>
itsuka1-1,natsuno,natsuno,なんか最近、イツカ、そういう日多くない？,<PLEASE_TRANSLATE>
itsuka1-1,natsuno,natsuno,夜中、何してるの？,<PLEASE_TRANSLATE>
itsuka1-1,itsuka,itsuka,......別に,<PLEASE_TRANSLATE>
itsuka1-1,natsuno,natsuno,......,......
itsuka1-1,natsuno,natsuno,......言えないこと？,<PLEASE_TRANSLATE>
