id,priority,stage,count,text<jpn>
object_anywhere00,-1,-,2,{0} and {1} are both lying still in the quiet. <br>If I leave this place， perhaps no one will ever find them again.
object_anywhere01,-1,-,3,{0}， {1}， {2}...... They must have all belonged to someone once. <br>Now， it is impossible to even imagine what they were like when they were still in use.
object_anywhere02,-1,-,2,Looking around， I caught sight of {0} and {1}. <br>It is quiet， but there are traces that people were here.
object_anywhere03,-1,-,1,Suddenly， I noticed {0} in the dimness. <br>It simply sits there， quietly.
object_anywhere04,-1,-,1,{0} was hidden beyond the shadows. <br>Even if someone had passed through here， they probably would never have noticed it.
object_anywhere05,-1,-,1,I saw a flicker of light and realized that {0} was there.
object_anywhere06,-1,-,1,For a moment， even the movement of the air seemed to have stopped. <br>{0} had been left behind in that silence.
-,,,,
secondary00,0,secondary,1,{0} has been left behind.
secondary01,0,secondary,2,{0} and {1} have been left behind.
secondary02,0,secondary,3,{0}， {1}， and {2} have been left behind.
secondary03,0,secondary,4,{0}， {1}， {2}， and {3} have been left behind.
secondary04,0,secondary,5,{0}， {1}， {2}， {3}， and {4} have been left behind.
secondary05,0,secondary,6,{5} has been left behind among {0}， {1}， {2}， {3}， and {4}.
-,,,,
bridge00,0,bridge,1,I could see {0} farther inside.
bridge01,0,bridge,1,There is {0} over there.
bridge02,0,bridge,1,If I look closely， I can see {0}.
bridge03,0,bridge,1,There is {0} a little farther ahead.
bridge04,0,bridge,1,I caught sight of {0} just ahead.
bridge05,0,bridge,2,A little farther on， there are {0} and {1}.
bridge06,0,bridge,2,I could see {0} on the right and {1} on the left.
bridge07,0,bridge,2,There are {0} and {1} further along the path.
bridge08,0,bridge,2,What lies ahead is {0} and {1}.
bridge09,0,bridge,3,Farther inside， I could see {0}， {1}， and then {2}.
bridge10,0,bridge,3,{0}， {1}， and {2} continue ahead.
-,,,,
object_room00,0,room,3,{0}， {1}， {2}......<br>Things that have lost their owners quietly sink into the passing of time.
object_room01,0,room,3,Did everything here belong to the owner of the room? <br>{0}， {1}， {2}...... They all seemed somehow lonely.
object_corridor00,0,corridor,2,Who was the last person to pass through here? <br>Dust has settled on both {0} and {1}.
object_corridor01,0,corridor,2,{0} and {1} have been moved off to the side.
object_bath00,0,bath,1,{0} is sparkling with light reflected from the water. <br>The way it shimmers， almost as if it were alive， makes me instinctively shrink back.
object_bath01,0,bath,1,Even {0} would grow mold after being left in a place like this for so long.
object_warehouse00,0,warehouse,3,It felt as though time had stopped. <br>{0}， {1}， {2}...... Could they have been here for a very long time?
object_warehouse01,0,warehouse,3,I can make out the outlines of things in the dimness. <br>{0}， {1}， {2}...... If they are sleeping， I cannot help but feel they should simply be left as they are.
object_kitchen00,0,kitchen,3,They must have fled in a hurry. <br>{0}， {1}， and {2} have been left scattered about.
object_kitchen01,0,kitchen,3,The more traces there are that {0}， {1}， and {2} were once used， the more empty it feels.
object_shop00,0,shop,3,Looking around， I can see {0}， {1}， and {2}. <br>Of course， they are a long way from what they must have looked like originally.
object_shop01,0,shop,3,{0}， {1}， and {2} have been left behind. <br>The shop's large windows let plenty of light reach all the way inside.
object_office00,0,office,2,The room lined with desks has been left in quite a mess. <br>{0}， {1}...... all sorts of things are scattered around.
object_office01,0,office,2,Some things， like {0} and {1}， are neatly arranged as though nothing ever happened， while others still evoke the turmoil of that time.
object_hall00,0,hall,4,The hall must once have been magnificent. <br>{0}， {1}， {2}， and {3} now simply wait in silence to be touched by the light once more.
object_hall01,0,hall,4,In such a vast space， {0}， {1}， {2}， and {3} all look small and huddled together.
object_square00,0,square,3,Along the road where no one passes anymore， {0}， {1}， and {2} have been left behind. <br>Will the road itself eventually cease to be a road?
object_square01,0,square,3,No one is here. <br>That does not mean the things left behind have disappeared. <br>{0}， {1}， and {2} may no longer be as they once were， but they are still here.
object_road00,0,road,2,Things have been thrown into the narrow path. <br>{0}， {1}...... Even though everything looks so desolate， they remind me that someone was once here.
object_road01,0,road,2,{0} and {1} have been left behind， blocking the road. <br>It is hardly unusual to find things like that.
object_garden00,0,garden,2,Could {0} and {1} have originally been here? <br>The garden must once have been carefully tended， but now there is hardly any trace of it.
object_garden01,0,garden,2,Did someone enter， or was it an animal? <br>Both {0} and {1} look as though they have been rummaged through.
object_tent00,0,tent,2,Inside the tent， {0}， {1}， and someone's belongings have all been left behind. <br>There is nothing to do but imagine what could have happened here.
object_tent01,0,tent,2,No one is here， yet the tent remains. <br>{0} and {1} have been left just as they were.
object_grassland00,0,grassland,3,The view was good. <br>Even from here， I can see that {0}， {1}， and {2} are traces of people who were once here.
object_grassland01,0,grassland,3,The grass has grown over everything， hiding all sorts of things. <br>Even so， I somehow managed to find {0}， {1}， and {2}.
