id,_arg0<jpn>,arg0<eng>,_arg1<jpn>,arg1<eng>
-,,,,
promote1-1,location14,location14,,
promote1-1,environment04,environment04,,
promote1-1,2,2,,
promote1-1,natsuno,natsuno,......あ,<PLEASE_TRANSLATE>
promote1-1,natsuno,natsuno,......？,<PLEASE_TRANSLATE>
promote1-1,natsuno,natsuno,これ......,<PLEASE_TRANSLATE>
promote1-1,natsuno,natsuno,ん－......,<PLEASE_TRANSLATE>
promote1-1,natsuno,natsuno,なんで、こんなところに置いてあるんだろ,<PLEASE_TRANSLATE>
promote1-1,natsuno,natsuno,誰かの忘れもの......,<PLEASE_TRANSLATE>
promote1-1,natsuno,natsuno,だよね、たぶん......,<PLEASE_TRANSLATE>
promote1-1,natsuno,natsuno,こんなところに置き忘れるかな......,<PLEASE_TRANSLATE>
promote1-1,natsuno,natsuno,これ......,<PLEASE_TRANSLATE>
promote1-1,natsuno,natsuno,<red>ビーズの指輪</red>......,<PLEASE_TRANSLATE>
promote1-1,natsuno,natsuno,手づくり......みたい,<PLEASE_TRANSLATE>
promote1-1,natsuno,natsuno,淡い水色と、真っ白の......,<PLEASE_TRANSLATE>
promote1-1,natsuno,natsuno,......,......
promote1-1,natsuno,natsuno,どんな人が、どんなこと思って、つくったんだろ......,<PLEASE_TRANSLATE>
promote1-1,natsuno,natsuno,誰かへの贈りものだったのかな,<PLEASE_TRANSLATE>
promote1-1,natsuno,natsuno,それとも、自分用？,<PLEASE_TRANSLATE>
promote1-1,natsuno,natsuno,......,......
promote1-1,natsuno,natsuno,......なんとなく,<PLEASE_TRANSLATE>
promote1-1,natsuno,natsuno,贈りものな気がする,<PLEASE_TRANSLATE>
promote1-1,natsuno,natsuno,誰かのこと想って、つくった、みたいな......,<PLEASE_TRANSLATE>
promote1-1,natsuno,natsuno,......そんな気がする,<PLEASE_TRANSLATE>
promote1-1,natsuno,natsuno,......,......
promote1-1,natsuno,natsuno,こういうの、自分でつくれるって、すごいよね......,<PLEASE_TRANSLATE>
promote1-1,natsuno,natsuno,ビーズアクセサリーかぁ......,<PLEASE_TRANSLATE>
promote1-1,natsuno,natsuno,高校のクラスメイトに、そういうの好きでやってる子いたけど,<PLEASE_TRANSLATE>
promote1-1,natsuno,natsuno,わたしには無理、って思っちゃったなー,<PLEASE_TRANSLATE>
promote1-1,natsuno,natsuno,こんな小さいビーズ、絶対すぐなくすよ,<PLEASE_TRANSLATE>
promote1-1,natsuno,natsuno,ひっくり返してバラまいて、絶望する......,<PLEASE_TRANSLATE>
promote1-1,natsuno,natsuno,のが、想像できるもん......,<PLEASE_TRANSLATE>
promote1-1,natsuno,natsuno,で、部屋に落ちてるの踏んで、嫌になる......,<PLEASE_TRANSLATE>
promote1-1,survivor00,survivor00,right-right,right-right
promote1-1,natsuno,natsuno,......ありそう,<PLEASE_TRANSLATE>
promote1-1,natsuno,natsuno,あんまり手先器用じゃないし、わたし,<PLEASE_TRANSLATE>
promote1-1,survivor00,survivor00,right-right,right-right
promote1-1,natsuno,natsuno,......それとも、こういうのやってる人も,<PLEASE_TRANSLATE>
promote1-1,natsuno,natsuno,そういうの乗り越えながらやってるのかな......,<PLEASE_TRANSLATE>
promote1-1,natsuno,natsuno,......,......
promote1-1,survivor00,survivor00,right-right,right-right
promote1-1,natsuno,natsuno,......誰が,<PLEASE_TRANSLATE>
promote1-1,natsuno,natsuno,誰が、どんな気持ちでつくったんだろ,<PLEASE_TRANSLATE>
promote1-1,survivor00,survivor00,right-right,right-right
promote1-1,natsuno,natsuno,......ちょっと、不思議だね,<PLEASE_TRANSLATE>
promote1-1,natsuno,natsuno,こういうの見ると......自然と、つくった人のこと考えちゃう,<PLEASE_TRANSLATE>
promote1-1,natsuno,natsuno,誰かが、誰かのことを想ってつくったんだな、って,<PLEASE_TRANSLATE>
promote1-1,survivor00,survivor00,right-right,right-right
promote1-1,natsuno,natsuno,きっと、まだこんなことになっちゃう前に......,<PLEASE_TRANSLATE>
promote1-1,natsuno,natsuno,......,......
promote1-1,survivor00,survivor00,right-right,right-right
promote1-1,natsuno,natsuno,......これ,<PLEASE_TRANSLATE>
promote1-1,natsuno,natsuno,もらっても、いいかな,<PLEASE_TRANSLATE>
promote1-1,natsuno,natsuno,わたしのためにつくられたものじゃないだろうけど,<PLEASE_TRANSLATE>
promote1-1,natsuno,natsuno,ここにあっても、汚れちゃうだけだろうし......,<PLEASE_TRANSLATE>
promote1-1,natsuno,natsuno,......それに,<PLEASE_TRANSLATE>
promote1-1,natsuno,natsuno,すごく......好きな色、なんだよね,<PLEASE_TRANSLATE>
promote1-1,natsuno,natsuno,青色のこと、好きとも嫌いとも思ったことないけど......,<PLEASE_TRANSLATE>
promote1-1,natsuno,natsuno,この青は......なんか、好き......だな,<PLEASE_TRANSLATE>
promote1-1,natsuno,natsuno,......,......
promote1-1,survivor00,survivor00,right-right,right-right
promote1-1,natsuno,natsuno,......うん,<PLEASE_TRANSLATE>
promote1-1,natsuno,natsuno,サイズは、ぴったり,<PLEASE_TRANSLATE>
promote1-1,natsuno,natsuno,......,......
promote1-1,natsuno,natsuno,きれいな色......,<PLEASE_TRANSLATE>
promote1-1,natsuno,natsuno,......んー,<PLEASE_TRANSLATE>
promote1-1,natsuno,natsuno,涼しい日の、空の色,<PLEASE_TRANSLATE>
promote1-1,2,2,,
promote1-1,questSuccess,questSuccess,,
-,,,,
,,,,
